,User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Location,Age
0,2,421,0.0,546,1672,2002,591,1100,18.0
1,8,0,5.0,544,2079,2001,365,1141,0.0
2,8,152,0.0,712,351,1991,366,1141,0.0
3,8,903,0.0,1054,904,1999,278,1141,0.0
4,8,1209,0.0,3170,686,1999,899,1141,0.0
5,8,1266,0.0,3084,101,1991,669,1141,0.0
6,8,1376,0.0,3715,2121,2000,99,1141,0.0
7,8,2500,0.0,2065,2239,1993,59,1141,0.0
8,8,2532,0.0,3615,562,1996,676,1141,0.0
9,8,2740,5.0,3731,126,2002,749,1141,0.0
10,8,2843,0.0,1943,555,1988,259,1141,0.0
11,8,2962,0.0,1262,30,2000,149,1141,0.0
12,8,3202,5.0,3149,2257,2004,409,1141,0.0
13,8,3324,5.0,1453,2007,1999,530,1141,0.0
14,8,3353,0.0,98,1065,1998,387,1141,0.0
15,8,3407,6.0,3477,1538,1998,118,1141,0.0
16,8,3444,6.0,1845,2130,1999,444,1141,0.0
17,8,3539,7.0,1151,1343,1994,711,1141,0.0
18,9,1494,0.0,3393,1248,1999,190,425,0.0
19,9,1873,6.0,344,2458,1994,641,425,0.0
20,9,2297,0.0,2050,2421,1999,833,425,0.0
21,10,3496,0.0,1924,397,2001,726,18,26.0
22,12,3535,10.0,1355,1036,2003,171,388,0.0
23,14,205,5.0,1766,1716,2000,363,707,0.0
24,14,1412,5.0,2659,2160,1999,740,707,0.0
25,14,2674,6.0,1050,1387,1998,16,707,0.0
26,14,3291,0.0,3765,2069,2004,838,707,0.0
27,16,745,9.0,161,1753,1997,79,21,0.0
28,16,764,0.0,3538,1596,2000,79,21,0.0
29,17,2612,0.0,1990,326,1996,749,217,0.0
30,19,983,7.0,2165,25,2003,687,1242,14.0
31,20,1356,0.0,518,2309,1998,99,607,19.0
32,22,3688,7.0,3763,1801,2002,495,362,0.0
33,22,3720,0.0,724,721,2001,320,362,0.0
34,22,3721,0.0,2583,417,1991,320,362,0.0
35,22,3732,0.0,2630,2092,2000,320,362,0.0
36,23,924,0.0,1718,1674,2000,21,886,0.0
37,26,1574,10.0,3548,956,1988,480,99,0.0
38,26,1673,9.0,2373,1434,2002,79,99,0.0
39,32,53,8.0,2121,218,1993,373,905,0.0
40,32,1062,0.0,1825,1203,1996,64,905,0.0
41,32,2031,0.0,2178,1121,1983,80,905,0.0
